City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tautira,PF,78.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
2,Quatre Cocos,MU,77.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
5,Sibiti,CG,77.81,broken clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
6,Kieta,PG,81.16,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
11,Itarema,BR,78.57,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,Cilegon,ID,89.49,broken clouds,-6.0174,106.0538,Amaris Hotel Cilegon
18,Pozo Colorado,PY,76.93,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
23,Cape Town,ZA,76.12,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,Bengkulu,ID,78.71,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
37,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
38,Atar,MR,88.45,clear sky,20.5169,-13.0499,Oumou Elghoura
40,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
43,Batouri,CM,82.65,scattered clouds,4.4333,14.3667,Hotel Hollywood
45,Chimoio,MZ,78.66,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
48,Sola,VU,80.74,broken clouds,-13.8833,167.55,Leumerus Bungalows
50,Atuona,PF,77.47,clear sky,-9.8,-139.0333,Villa Enata
62,Biak,ID,81.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
64,Calderitas,MX,78.87,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
70,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
71,Saint-Pierre,RE,80.29,light rain,-21.3393,55.4781,Lindsey Hôtel
72,Malakal,SS,77.79,light rain,9.5334,31.6605,Nile Palace Hotel
75,Kumano,JP,76.12,broken clouds,34.3442,132.5894,ホテル コラソン
76,Rock Sound,BS,81.77,broken clouds,24.9,-76.2,Rock Sound Club
79,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
80,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
93,Beira,MZ,79.57,clear sky,-19.8436,34.8389,Beira Terrace Hotel
99,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
100,Naze,JP,77.22,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
103,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
104,Yulara,AU,75.45,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
105,Okmulgee,US,77.11,overcast clouds,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
111,Dabhol,IN,86.9,few clouds,17.6,73.1667,Ashwamedh Resort
112,Suez,EG,88.09,broken clouds,29.9737,32.5263,Green House
114,Anloga,GH,83.28,scattered clouds,5.7947,0.8973,Pin Drop Hotel
116,Muroto,JP,76.24,clear sky,33.2833,134.15,Oota Ryokan
125,Hithadhoo,MV,84.07,broken clouds,-0.6,73.0833,Scoop Guest House
