City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tautira,PF,-17.7333,-149.15,78.82,79,100,16.37,overcast clouds
1,Umba,RU,66.6871,34.3429,42.64,81,56,7.43,broken clouds
2,Quatre Cocos,MU,-20.2078,57.7625,77.09,77,76,11.63,broken clouds
3,Mataura,NZ,-46.1927,168.8643,42.3,85,100,1.99,overcast clouds
4,Remedios,CU,22.4947,-79.5458,70.72,89,2,2.19,clear sky
5,Sibiti,CG,-3.6819,13.3499,77.81,76,83,3.36,broken clouds
6,Kieta,PG,-6.2167,155.6333,81.16,75,99,1.05,overcast clouds
7,Norrtalje,SE,59.758,18.705,44.24,69,61,9.42,broken clouds
8,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,81,100,2.1,overcast clouds
9,Penne,IT,42.4538,13.9299,59.49,52,0,6.6,clear sky
10,Stornoway,GB,58.2093,-6.3865,52.93,93,75,10.36,broken clouds
11,Itarema,BR,-2.9248,-39.9167,78.57,72,15,14.18,few clouds
12,Cilegon,ID,-6.0174,106.0538,89.49,61,82,5.57,broken clouds
13,Punta Arenas,CL,-53.15,-70.9167,50.11,53,75,18.41,broken clouds
14,Ribeira Grande,PT,38.5167,-28.7,70.2,83,40,12.66,scattered clouds
15,Pevek,RU,69.7008,170.3133,19.04,92,100,3.67,overcast clouds
16,Hilo,US,19.7297,-155.09,74.8,92,75,5.75,light rain
17,Tuktoyaktuk,CA,69.4541,-133.0374,29.1,90,100,21.09,overcast clouds
18,Pozo Colorado,PY,-23.4923,-58.7972,76.93,55,97,9.89,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,42.19,76,100,9.73,overcast clouds
20,Jamestown,US,42.097,-79.2353,63.72,93,31,3.0,scattered clouds
21,Hobart,AU,-42.8794,147.3294,55.26,70,75,1.99,broken clouds
22,Qaanaaq,GL,77.484,-69.3632,30.04,93,100,10.2,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,76.12,53,100,1.01,overcast clouds
24,Kamaishi,JP,39.2667,141.8833,59.63,84,100,9.42,overcast clouds
25,Tolaga Bay,NZ,-38.3667,178.3,48.67,84,89,17.4,light rain
26,New Norfolk,AU,-42.7826,147.0587,54.91,58,92,3.0,overcast clouds
27,Priiskovyy,RU,51.9333,116.6333,37.8,98,100,7.31,light rain
28,Rikitea,PF,-23.1203,-134.9692,74.05,77,99,8.79,overcast clouds
29,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,20,2.3,few clouds
30,Linqiong,CN,30.4159,103.4609,64.78,78,98,2.21,overcast clouds
31,Kushiro,JP,42.975,144.3747,50.85,81,0,5.75,clear sky
32,Busselton,AU,-33.65,115.3333,63.09,59,1,12.57,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,72.12,74,46,1.54,scattered clouds
34,Bengkulu,ID,-3.8004,102.2655,78.71,87,100,6.11,heavy intensity rain
35,Bethel,US,41.3712,-73.414,60.93,91,90,0.0,overcast clouds
36,Kodiak,US,57.79,-152.4072,41.23,92,100,3.0,light rain
37,Port Elizabeth,ZA,-33.918,25.5701,76.1,54,52,8.28,broken clouds
38,Atar,MR,20.5169,-13.0499,88.45,19,3,9.13,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,59.09,49,100,4.0,overcast clouds
40,Butaritari,KI,3.0707,172.7902,81.27,69,20,6.33,few clouds
41,Te Karaka,NZ,-38.4654,177.8679,45.68,93,99,6.64,light rain
42,Lagoa,PT,39.05,-27.9833,68.92,72,100,7.11,overcast clouds
43,Batouri,CM,4.4333,14.3667,82.65,65,46,2.8,scattered clouds
44,Port Augusta,AU,-32.5,137.7667,60.94,34,98,15.77,overcast clouds
45,Chimoio,MZ,-19.1164,33.4833,78.66,44,0,9.22,clear sky
46,Guadalupe Y Calvo,MX,26.1,-106.9667,51.42,95,100,2.59,overcast clouds
47,Honningsvag,NO,70.9821,25.9704,38.95,81,40,23.02,light rain
48,Sola,VU,-13.8833,167.55,80.74,76,82,5.86,broken clouds
49,Cherskiy,RU,68.75,161.3,-4.11,96,51,2.35,broken clouds
50,Atuona,PF,-9.8,-139.0333,77.47,76,5,17.4,clear sky
